batch	source_language	id	type		Biased against Palestine	Biased against Israel	Biased against both Palestine and Israel	Biased against others	Unbiased	Not Applicable	Unclear		Propaganda	Not Propaganda	Not Applicable	Unclear
B01	English	1	MAIN		1	1	0	5	8	1	0		2	4	0	0
B01	English	2	MAIN		3	0	1	0	10	0	2		2	4	0	0
B01	English	4	MAIN		7	1	0	1	7	0	0		4	2	0	0
B01	English	7	MAIN		1	4	1	0	6	0	4		2	3	0	1
B01	English	8	MAIN		6	1	1	0	7	0	1		4	2	0	0
B01	English	10	MAIN		5	4	0	1	5	0	1		4	2	0	0
B01	English	14	MAIN		13	0	0	2	1	0	0		4	2	0	0
B01	English	17	MAIN		1	0	0	0	9	1	5		1	4	0	1
B01	English	18	MAIN		3	1	0	0	11	0	1		2	4	0	0
B01	English	20	MAIN		14	0	0	0	2	0	0		5	1	0	0
B01	English	21	MAIN		14	0	0	1	1	0	0		6	0	0	0
B01	English	23	MAIN		7	0	0	4	5	0	0		4	1	0	1
B01	English	25	MAIN		1	1	0	1	13	0	0		1	5	0	0
B01	English	27	MAIN		1	0	0	4	8	1	2		2	3	0	1
B01	English	28	MAIN		5	1	2	1	6	0	1		2	4	0	0
B01	English	29	MAIN		9	0	0	2	5	0	0		2	4	0	0
B01	English	31	MAIN		0	0	0	6	8	0	2		2	3	0	1
B01	English	34	MAIN		13	0	0	0	3	0	0		5	1	0	0
B01	English	36	MAIN		4	0	0	0	11	0	1		1	5	0	0
B01	English	41	MAIN		2	8	0	1	5	0	0		3	3	0	0
B01	English	42	MAIN		3	0	0	1	9	2	1		1	4	1	0
B01	English	44	MAIN		0	0	0	1	3	5	7		0	2	3	1
B01	English	45	MAIN		3	6	1	0	5	0	1		3	2	0	1
B01	English	48	MAIN		2	2	0	5	6	0	1		2	4	0	0
B01	English	57	MAIN		10	1	0	2	2	1	0		6	0	0	0
B01	English	58	MAIN		8	0	1	0	3	1	3		4	1	1	0
B01	English	64	MAIN		12	0	0	2	2	0	0		5	0	1	0
B01	English	66	MAIN		1	0	1	3	9	1	1		2	3	1	0
B01	English	70	MAIN		2	0	0	1	12	0	1		1	5	0	0
B01	English	71	MAIN		11	0	0	0	4	0	1		4	2	0	0
B01	English	76	MAIN		11	0	0	2	0	1	2		5	1	0	0
B01	English	82	MAIN		1	6	0	1	7	0	1		2	3	0	1
B01	English	85	MAIN		2	1	0	3	8	0	2		2	4	0	0
B01	English	86	MAIN		0	0	0	1	5	2	8		0	2	2	2
B01	English	94	MAIN		1	3	4	1	7	0	0		3	3	0	0
B01	English	98	MAIN		1	0	0	4	11	0	0		1	5	0	0
B01	English	99	MAIN		3	0	0	0	7	4	2		2	2	2	0
B01	English	104	MAIN		5	0	0	1	10	0	0		1	5	0	0
B01	English	111	MAIN		10	1	0	2	1	0	2		6	0	0	0
B01	English	115	MAIN		1	6	1	1	7	0	0		2	4	0	0
B01	English	118	MAIN		0	1	2	0	11	0	2		0	6	0	0
B01	English	127	MAIN		0	0	0	1	11	1	3		0	5	1	0
B01	English	134	MAIN		4	6	1	0	5	0	0		4	2	0	0
B01	English	142	MAIN		0	9	1	0	5	0	1		3	3	0	0
B01	English	151	MAIN		12	0	0	2	2	0	0		6	0	0	0
B01	English	155	MAIN		1	7	1	0	6	0	1		2	4	0	0
B01	English	163	MAIN		0	7	0	1	8	0	0		3	3	0	0
B01	English	176	MAIN		1	0	0	1	14	0	0		1	5	0	0
B01	English	179	MAIN		3	0	0	0	9	2	2		2	2	1	1
B01	English	184	MAIN		0	0	0	1	15	0	0		1	5	0	0
B01	English	195	MAIN		6	0	0	2	8	0	0		3	3	0	0
B01	English	199	MAIN		0	2	0	1	11	0	2		1	3	0	2
B01	English	205	MAIN		3	1	1	3	4	1	3		2	2	1	1
B01	English	216	MAIN		8	0	0	1	7	0	0		3	3	0	0
B01	English	223	MAIN		3	1	0	2	10	0	0		2	4	0	0
B01	English	231	MAIN		11	0	0	4	1	0	0		4	2	0	0
B01	English	243	MAIN		0	0	2	1	13	0	0		1	5	0	0
B01	English	262	MAIN		13	0	0	2	1	0	0		6	0	0	0
B01	English	283	MAIN		0	5	0	1	10	0	0		2	4	0	0
B01	English	286	MAIN		1	0	1	1	13	0	0		0	6	0	0
B01	English	287	MAIN		5	1	1	1	4	2	2		1	2	2	1
B01	English	291	MAIN		2	0	1	0	13	0	0		0	6	0	0
B01	English	300	MAIN		3	7	0	0	5	0	1		3	3	0	0
B01	English	302	MAIN		1	6	0	2	6	0	1		1	4	0	1
B01	English	336	MAIN		0	3	0	1	12	0	0		1	5	0	0
B01	English	343	MAIN		3	2	0	1	10	0	0		1	5	0	0
B01	English	354	MAIN		0	1	2	1	12	0	0		1	5	0	0
B01	English	356	MAIN		1	0	2	2	11	0	0		3	3	0	0
B01	English	366	MAIN		1	7	0	1	6	0	1		1	4	0	1
B01	English	377	MAIN		0	0	0	1	13	0	2		0	6	0	0
B01	English	383	MAIN		4	0	0	1	11	0	0		2	4	0	0
B01	English	386	MAIN		0	8	1	0	6	0	1		2	3	0	1
B01	English	393	MAIN		1	0	1	4	7	3	0		0	3	2	1
B01	English	400	MAIN		2	5	0	0	8	0	1		5	1	0	0
B01	English	403	MAIN		2	7	0	0	7	0	0		2	4	0	0
B01	English	417	MAIN		0	10	0	1	5	0	0		3	3	0	0
B01	English	425	MAIN		5	1	1	1	7	0	1		3	3	0	0
B01	English	429	MAIN		1	5	0	1	9	0	0		3	3	0	0
B01	English	430	MAIN		1	0	0	1	14	0	0		0	6	0	0
B01	English	450	MAIN		0	5	0	1	10	0	0		2	4	0	0
B01	English	507	MAIN		0	6	0	0	9	0	1		2	4	0	0
B01	English	510	MAIN		2	0	0	0	11	0	3		2	3	0	1
B01	English	512	MAIN		2	1	7	2	4	0	0		2	4	0	0
B01	English	541	MAIN		1	0	1	2	11	0	1		1	5	0	0
B01	English	542	MAIN		1	3	0	1	11	0	0		3	3	0	0
B01	English	544	MAIN		1	0	0	0	13	0	2		3	3	0	0
B01	English	553	MAIN		8	0	0	2	6	0	0		4	2	0	0
B01	English	560	MAIN		5	0	0	1	10	0	0		2	4	0	0
B01	English	562	MAIN		6	0	0	0	10	0	0		0	6	0	0
B01	English	565	MAIN		8	0	0	5	3	0	0		4	2	0	0
B01	English	566	MAIN		3	0	0	1	7	1	4		0	3	0	3
B01	English	572	MAIN		8	0	0	2	6	0	0		3	3	0	0
B01	English	576	MAIN		13	0	0	2	1	0	0		5	1	0	0
B01	English	577	MAIN		2	0	1	1	9	0	3		2	3	0	1
B01	English	582	MAIN		7	0	0	1	8	0	0		1	5	0	0
B01	English	592	MAIN		13	0	0	1	1	0	1		4	2	0	0
B01	English	593	MAIN		1	4	1	1	8	0	1		0	5	0	1
B01	English	600	MAIN		0	0	0	1	3	6	6		1	2	1	2
B01	English	605	MAIN		5	1	0	5	1	3	1		3	1	2	0
B01	English	608	MAIN		13	0	0	2	1	0	0		6	0	0	0
B01	English	615	MAIN		0	3	1	0	12	0	0		1	5	0	0
B01	English	620	MAIN		3	0	0	0	12	0	1		0	5	1	0
B01	English	623	MAIN		3	2	3	1	7	0	0		3	3	0	0
B01	English	651	MAIN		4	2	0	1	9	0	0		0	6	0	0
B01	English	663	MAIN		0	0	0	1	13	1	1		0	4	0	2
B01	English	668	MAIN		0	3	1	5	7	0	0		2	4	0	0
B01	English	679	MAIN		2	0	0	1	13	0	0		1	5	0	0
B01	English	712	MAIN		1	0	1	0	9	0	5		0	4	1	1
B01	English	714	MAIN		10	0	0	0	6	0	0		1	4	0	1
B01	English	723	MAIN		4	1	1	1	9	0	0		1	5	0	0
B01	English	724	MAIN		2	0	1	0	9	2	2		0	3	1	2
B01	English	725	MAIN		7	0	0	6	3	0	0		5	0	0	1
B01	English	745	MAIN		2	8	0	1	5	0	0		1	5	0	0
B01	English	748	MAIN		0	0	0	3	8	0	5		0	4	0	2
B01	English	757	MAIN		3	0	0	0	11	0	2		0	6	0	0
B01	English	759	MAIN		2	4	0	1	9	0	0		2	4	0	0
B01	English	761	MAIN		2	0	0	1	10	2	1		1	5	0	0
B01	English	763	MAIN		0	0	0	0	2	8	6		0	0	4	2
B01	English	777	MAIN		0	3	0	1	10	0	2		0	6	0	0
B01	English	784	MAIN		8	0	0	4	3	0	1		5	1	0	0
B01	English	785	MAIN		12	0	0	1	3	0	0		5	1	0	0
B01	English	793	MAIN		9	2	0	3	2	0	0		4	2	0	0
B01	English	794	MAIN		3	0	1	1	11	0	0		1	5	0	0
B01	English	796	MAIN		2	5	1	0	7	0	1		3	3	0	0
B01	English	797	MAIN		1	0	0	3	9	2	1		0	5	1	0
B01	English	808	MAIN		1	1	0	1	13	0	0		0	6	0	0
B01	English	815	MAIN		0	0	0	1	2	8	5		1	1	4	0
B01	English	825	MAIN		2	0	0	1	13	0	0		0	6	0	0
